mapping_id,colloquial_expression,mapped_standard_terms,mapped_issue,mapped_domain,source_node_ids,confidence,review_status,notes
mapping_3a22e85255f0,What does excess shares mean in this source?,"[""excess shares"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0147_ast"", ""companies_act_1967_c8232023ef_chunk_0148_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_adfa24b2f632,What does filed mean in this source?,"[""filed"", ""financial year"", ""foreign company"", ""notify"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0054_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_e991773cdd84,What does financial penalty mean in this source?,"[""financial penalty"", ""enforcement"", ""authority"", ""comply with obligation""]",unknown,unknown,"[""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0082_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0090_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0116_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0124_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_bc92dabc0f99,What does financial statements mean in this source?,"[""financial statements"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0907_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_04fbffe809cc,What does individual mean in this source?,"[""individual"", ""business"", ""data protection"", ""liability"", ""authority"", ""full name"", ""identification"", ""public company"", ""registered"", ""Registrar"", ""regulations"", ""repealed written laws""]",personal_data_protection,data protection,"[""companies_act_1967_c8232023ef_chunk_0014_ast"", ""companies_act_1967_c8232023ef_chunk_0049_ast"", ""companies_act_1967_c8232023ef_chunk_0055_ast"", ""companies_act_1967_c8232023ef_chunk_0056_ast"", ""companies_act_1967_c8232023ef_chunk_0062_ast"", ""companies_act_1967_c8232023ef_chunk_0106_ast"", ""companies_act_1967_c8232023ef_chunk_0117_ast"", ""companies_act_1967_c8232023ef_chunk_0118_ast"", ""companies_act_1967_c8232023ef_chunk_0119_ast"", ""companies_act_1967_c8232023ef_chunk_0120_ast"", ""companies_act_1967_c8232023ef_chunk_0121_ast"", ""companies_act_1967_c8232023ef_chunk_0122_ast"", ""companies_act_1967_c8232023ef_chunk_0129_ast"", ""companies_act_1967_c8232023ef_chunk_0130_ast"", ""companies_act_1967_c8232023ef_chunk_0135_ast"", ""companies_act_1967_c8232023ef_chunk_0153_ast"", ""companies_act_1967_c8232023ef_chunk_0197_ast"", ""companies_act_1967_c8232023ef_chunk_0226_ast"", ""companies_act_1967_c8232023ef_chunk_0227_ast"", ""companies_act_1967_c8232023ef_chunk_0235_ast"", ""companies_act_1967_c8232023ef_chunk_0237_ast"", ""companies_act_1967_c8232023ef_chunk_0409_ast"", ""companies_act_1967_c8232023ef_chunk_0438_ast"", ""companies_act_1967_c8232023ef_chunk_0566_ast"", ""companies_act_1967_c8232023ef_chunk_0567_ast"", ""companies_act_1967_c8232023ef_chunk_0569_ast"", ""companies_act_1967_c8232023ef_chunk_0570_ast"", ""companies_act_1967_c8232023ef_chunk_0602_ast"", ""companies_act_1967_c8232023ef_chunk_0653_ast"", ""companies_act_1967_c8232023ef_chunk_0659_ast"", ""companies_act_1967_c8232023ef_chunk_0902_ast"", ""companies_act_1967_c8232023ef_chunk_0948_ast"", ""companies_act_1967_c8232023ef_chunk_0958_ast"", ""companies_act_1967_c8232023ef_chunk_1064_ast"", ""companies_act_1967_c8232023ef_chunk_1086_ast"", ""companies_act_1967_c8232023ef_chunk_1087_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0043_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0050_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0112_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0150_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0153_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0160_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0013_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0014_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0016_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0025_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0064_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0074_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0083_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0084_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0142_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0194_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_cb0cdbe022d4,What does lawyer mean in this source?,"[""lawyer"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0955_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_908c10cf1281,What does legal counsel mean in this source?,"[""legal counsel"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0956_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_4546f9c24c29,What does liability mean in this source?,"[""liability"", ""authority"", ""business"", ""accounting corporation"", ""accounting entity"", ""accounting firm"", ""accounting limited liability partnership"", ""Accounting Standards"", ""Authority"", ""Authority’s website"", ""banking corporation"", ""borrowing corporation""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0020_ast"", ""companies_act_1967_c8232023ef_chunk_0043_ast"", ""companies_act_1967_c8232023ef_chunk_0046_ast"", ""companies_act_1967_c8232023ef_chunk_0048_ast"", ""companies_act_1967_c8232023ef_chunk_0051_ast"", ""companies_act_1967_c8232023ef_chunk_0057_ast"", ""companies_act_1967_c8232023ef_chunk_0064_ast"", ""companies_act_1967_c8232023ef_chunk_0086_ast"", ""companies_act_1967_c8232023ef_chunk_0137_ast"", ""companies_act_1967_c8232023ef_chunk_0150_ast"", ""companies_act_1967_c8232023ef_chunk_0151_ast"", ""companies_act_1967_c8232023ef_chunk_0158_ast"", ""companies_act_1967_c8232023ef_chunk_0159_ast"", ""companies_act_1967_c8232023ef_chunk_0172_ast"", ""companies_act_1967_c8232023ef_chunk_0175_ast"", ""companies_act_1967_c8232023ef_chunk_0183_ast"", ""companies_act_1967_c8232023ef_chunk_0187_ast"", ""companies_act_1967_c8232023ef_chunk_0232_ast"", ""companies_act_1967_c8232023ef_chunk_0253_ast"", ""companies_act_1967_c8232023ef_chunk_0267_ast"", ""companies_act_1967_c8232023ef_chunk_0294_ast"", ""companies_act_1967_c8232023ef_chunk_0299_ast"", ""companies_act_1967_c8232023ef_chunk_0335_ast"", ""companies_act_1967_c8232023ef_chunk_0339_ast"", ""companies_act_1967_c8232023ef_chunk_0341_ast"", ""companies_act_1967_c8232023ef_chunk_0344_ast"", ""companies_act_1967_c8232023ef_chunk_0355_ast"", ""companies_act_1967_c8232023ef_chunk_0421_ast"", ""companies_act_1967_c8232023ef_chunk_0482_ast"", ""companies_act_1967_c8232023ef_chunk_0488_ast"", ""companies_act_1967_c8232023ef_chunk_0499_ast"", ""companies_act_1967_c8232023ef_chunk_0503_ast"", ""companies_act_1967_c8232023ef_chunk_0505_ast"", ""companies_act_1967_c8232023ef_chunk_0506_ast"", ""companies_act_1967_c8232023ef_chunk_0507_ast"", ""companies_act_1967_c8232023ef_chunk_0513_ast"", ""companies_act_1967_c8232023ef_chunk_0545_ast"", ""companies_act_1967_c8232023ef_chunk_0546_ast"", ""companies_act_1967_c8232023ef_chunk_0547_ast"", ""companies_act_1967_c8232023ef_chunk_0548_ast"", ""companies_act_1967_c8232023ef_chunk_0591_ast"", ""companies_act_1967_c8232023ef_chunk_0748_ast"", ""companies_act_1967_c8232023ef_chunk_0749_ast"", ""companies_act_1967_c8232023ef_chunk_0859_ast"", ""companies_act_1967_c8232023ef_chunk_0863_ast"", ""companies_act_1967_c8232023ef_chunk_0882_ast"", ""companies_act_1967_c8232023ef_chunk_0884_ast"", ""companies_act_1967_c8232023ef_chunk_0920_ast"", ""companies_act_1967_c8232023ef_chunk_0932_ast"", ""companies_act_1967_c8232023ef_chunk_0933_ast"", ""companies_act_1967_c8232023ef_chunk_0950_ast"", ""companies_act_1967_c8232023ef_chunk_0983_ast"", ""companies_act_1967_c8232023ef_chunk_0990_ast"", ""companies_act_1967_c8232023ef_chunk_0999_ast"", ""companies_act_1967_c8232023ef_chunk_1014_ast"", ""companies_act_1967_c8232023ef_chunk_1018_ast"", ""companies_act_1967_c8232023ef_chunk_1059_ast"", ""companies_act_1967_c8232023ef_chunk_1060_ast"", ""companies_act_1967_c8232023ef_chunk_1062_ast"", ""companies_act_1967_c8232023ef_chunk_1065_ast"", ""companies_act_1967_c8232023ef_chunk_1111_ast"", ""companies_act_1967_c8232023ef_chunk_1128_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0147_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_81c8e3646856,What does named officer mean in this source?,"[""named officer""]",unknown,unknown,"[""personal_data_protection_act_2012_e857c5e9da_chunk_0207_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_d6409a9d827d,What does non-public interest company mean in this source?,"[""non-public interest company"", ""public interest company"", ""process data"", ""notify"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0719_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_3f04cdb8dbe5,What does non-resident mean in this source?,"[""non-resident"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0366_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_bcc4fcf68186,What does odd-lot mean in this source?,"[""odd-lot"", ""board lot"", ""authority"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0270_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_f8201091deab,What does offence mean in this source?,"[""offence"", ""authority"", ""business"", ""liability"", ""comply with obligation"", ""notify"", ""enforcement"", ""retain records"", ""charitable purpose"", ""qualifying creditor"", ""debarment order"", ""secretary""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0001_ast"", ""companies_act_1967_c8232023ef_chunk_0009_ast"", ""companies_act_1967_c8232023ef_chunk_0010_ast"", ""companies_act_1967_c8232023ef_chunk_0035_ast"", ""companies_act_1967_c8232023ef_chunk_0036_ast"", ""companies_act_1967_c8232023ef_chunk_0037_ast"", ""companies_act_1967_c8232023ef_chunk_0041_ast"", ""companies_act_1967_c8232023ef_chunk_0083_ast"", ""companies_act_1967_c8232023ef_chunk_0087_ast"", ""companies_act_1967_c8232023ef_chunk_0092_ast"", ""companies_act_1967_c8232023ef_chunk_0093_ast"", ""companies_act_1967_c8232023ef_chunk_0095_ast"", ""companies_act_1967_c8232023ef_chunk_0098_ast"", ""companies_act_1967_c8232023ef_chunk_0099_ast"", ""companies_act_1967_c8232023ef_chunk_0152_ast"", ""companies_act_1967_c8232023ef_chunk_0167_ast"", ""companies_act_1967_c8232023ef_chunk_0176_ast"", ""companies_act_1967_c8232023ef_chunk_0184_ast"", ""companies_act_1967_c8232023ef_chunk_0204_ast"", ""companies_act_1967_c8232023ef_chunk_0213_ast"", ""companies_act_1967_c8232023ef_chunk_0214_ast"", ""companies_act_1967_c8232023ef_chunk_0221_ast"", ""companies_act_1967_c8232023ef_chunk_0223_ast"", ""companies_act_1967_c8232023ef_chunk_0228_ast"", ""companies_act_1967_c8232023ef_chunk_0239_ast"", ""companies_act_1967_c8232023ef_chunk_0255_ast"", ""companies_act_1967_c8232023ef_chunk_0260_ast"", ""companies_act_1967_c8232023ef_chunk_0262_ast"", ""companies_act_1967_c8232023ef_chunk_0265_ast"", ""companies_act_1967_c8232023ef_chunk_0266_ast"", ""companies_act_1967_c8232023ef_chunk_0297_ast"", ""companies_act_1967_c8232023ef_chunk_0298_ast"", ""companies_act_1967_c8232023ef_chunk_0328_ast"", ""companies_act_1967_c8232023ef_chunk_0343_ast"", ""companies_act_1967_c8232023ef_chunk_0345_ast"", ""companies_act_1967_c8232023ef_chunk_0354_ast"", ""companies_act_1967_c8232023ef_chunk_0356_ast"", ""companies_act_1967_c8232023ef_chunk_0358_ast"", ""companies_act_1967_c8232023ef_chunk_0368_ast"", ""companies_act_1967_c8232023ef_chunk_0369_ast"", ""companies_act_1967_c8232023ef_chunk_0373_ast"", ""companies_act_1967_c8232023ef_chunk_0376_ast"", ""companies_act_1967_c8232023ef_chunk_0377_ast"", ""companies_act_1967_c8232023ef_chunk_0385_ast"", ""companies_act_1967_c8232023ef_chunk_0415_ast"", ""companies_act_1967_c8232023ef_chunk_0417_ast"", ""companies_act_1967_c8232023ef_chunk_0419_ast"", ""companies_act_1967_c8232023ef_chunk_0425_ast"", ""companies_act_1967_c8232023ef_chunk_0426_ast"", ""companies_act_1967_c8232023ef_chunk_0427_ast"", ""companies_act_1967_c8232023ef_chunk_0428_ast"", ""companies_act_1967_c8232023ef_chunk_0429_ast"", ""companies_act_1967_c8232023ef_chunk_0432_ast"", ""companies_act_1967_c8232023ef_chunk_0433_ast"", ""companies_act_1967_c8232023ef_chunk_0435_ast"", ""companies_act_1967_c8232023ef_chunk_0440_ast"", ""companies_act_1967_c8232023ef_chunk_0441_ast"", ""companies_act_1967_c8232023ef_chunk_0442_ast"", ""companies_act_1967_c8232023ef_chunk_0451_ast"", ""companies_act_1967_c8232023ef_chunk_0460_ast"", ""companies_act_1967_c8232023ef_chunk_0461_ast"", ""companies_act_1967_c8232023ef_chunk_0462_ast"", ""companies_act_1967_c8232023ef_chunk_0463_ast"", ""companies_act_1967_c8232023ef_chunk_0465_ast"", ""companies_act_1967_c8232023ef_chunk_0466_ast"", ""companies_act_1967_c8232023ef_chunk_0467_ast"", ""companies_act_1967_c8232023ef_chunk_0469_ast"", ""companies_act_1967_c8232023ef_chunk_0474_ast"", ""companies_act_1967_c8232023ef_chunk_0475_ast"", ""companies_act_1967_c8232023ef_chunk_0477_ast"", ""companies_act_1967_c8232023ef_chunk_0486_ast"", ""companies_act_1967_c8232023ef_chunk_0487_ast"", ""companies_act_1967_c8232023ef_chunk_0501_ast"", ""companies_act_1967_c8232023ef_chunk_0512_ast"", ""companies_act_1967_c8232023ef_chunk_0530_ast"", ""companies_act_1967_c8232023ef_chunk_0587_ast"", ""companies_act_1967_c8232023ef_chunk_0588_ast"", ""companies_act_1967_c8232023ef_chunk_0609_ast"", ""companies_act_1967_c8232023ef_chunk_0610_ast"", ""companies_act_1967_c8232023ef_chunk_0620_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_b071794fc578,What does Official Assignee mean in this source?,"[""Official Assignee"", ""Official Receiver"", ""prescribed"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0059_ast""]",medium,pending,"[""Generated from AST possible_user_questions.""]"
mapping_52259b448c8f,What does organisation mean in this source?,"[""organisation"", ""company"", ""business"", ""data protection"", ""individual"", ""notify"", ""authority"", ""receiving organisation"", ""collect data"", ""comply with obligation"", ""offence"", ""retain records""]",personal_data_protection,data protection,"[""companies_act_1967_c8232023ef_chunk_0761_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0027_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0031_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0033_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0034_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0044_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0045_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0063_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0064_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0065_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0068_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0071_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0073_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0075_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0076_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0077_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0078_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0079_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0080_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0081_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0084_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0085_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0086_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0089_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0091_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0092_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0094_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0095_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0097_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0098_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0106_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0107_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0108_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0114_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0119_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0142_ast"", ""personal_data_protection_amendment_act_2020_d7cc5937b1_chunk_0144_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0010_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0029_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0057_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0058_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0063_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0075_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0076_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0094_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0097_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0098_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0099_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0107_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0109_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0110_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0111_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0112_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0113_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0114_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0115_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0117_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0118_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0119_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0120_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0122_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0123_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0125_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0127_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0128_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0131_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0132_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0149_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0151_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0152_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0154_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0160_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0195_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0196_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0197_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0199_ast"", ""personal_data_protection_act_2012_e857c5e9da_chunk_0209_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
mapping_79227657b18b,What does Passing of resolutions by written mean in this source?,"[""Passing of resolutions by written"", ""business""]",unknown,unknown,"[""companies_act_1967_c8232023ef_chunk_0623_ast""]",high,pending,"[""Generated from AST possible_user_questions.""]"
